,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS
1523,H4PA13124,"SCHWARTZ, ALLYSON Y.",I,1.0,DEM,2922349.42,0.0,3483292.31,0.0,1980215.91,1419581.18,0.0,0.0,0.0,0.0,0.0,0.0,1720369.71,PA,13,,W,,W,56.0,1129815.83,150.88,2010-12-31,4583.05,4000.0
1526,H0PA13080,"ADCOCK, CARSON DEE",C,2.0,REP,935167.57,0.0,932478.0,0.0,0.0,2689.57,0.0,535000.0,0.0,8700.0,0.0,526300.0,368992.67,PA,13,,W,,L,43.0,29525.1,250.0,2010-12-31,765.0,0.0
1528,H4PA18131,"DOYLE, MIKE",I,1.0,DEM,726536.84,0.0,953031.37,0.0,327111.17,100616.64,0.0,0.0,0.0,0.0,0.0,0.0,217211.0,PA,14,,W,,W,68.0,500550.0,9.98,2010-12-31,0.0,3000.0
1529,H0PA14104,"HALUSZCZAK, MELISSA ANN",C,2.0,REP,61136.9,0.0,57171.27,0.0,0.0,3965.63,432.29,0.0,0.0,0.0,0.0,0.0,51427.87,PA,14,,W,,L,28.0,8000.0,1050.0,2010-12-31,20.0,0.0
1530,H0PA15101,"CALLAHAN, JOHN BURK",C,1.0,DEM,1995389.06,0.0,1970811.23,0.0,0.0,24577.83,0.0,0.0,0.0,0.0,0.0,0.0,1613111.76,PA,15,,W,,L,39.0,381735.67,541.63,2010-12-31,10350.0,0.0
1532,H4PA15087,"DENT, CHARLES WIEDER",I,2.0,REP,2415571.47,71282.66,2553936.42,0.0,178644.31,40279.36,0.0,0.0,0.0,0.0,0.0,0.0,1241672.48,PA,15,,W,,W,53.0,1092300.0,90.0,2010-12-31,2400.0,250.0
1533,H0PA15093,"TOWNE, JAKE",C,3.0,IND,59228.76,0.0,58083.48,0.0,0.0,1144.46,3885.0,0.0,0.0,0.0,0.0,0.0,55340.76,PA,15,,,,L,7.0,0.0,0.0,2010-12-31,0.0,0.0
1534,H4PA16051,"HERR, LOIS K",C,1.0,DEM,409695.51,0.0,373301.17,0.0,0.0,36394.34,4772.8,25000.0,0.0,0.0,0.0,25000.0,324892.41,PA,16,,W,,L,34.0,55022.89,0.0,2010-11-22,0.0,0.0
1535,H6PA16197,"PITTS, JOSEPH R.",I,2.0,REP,759217.55,0.0,828984.36,142250.0,155574.12,85807.31,0.0,0.0,0.0,0.0,0.0,0.0,287461.82,PA,16,,W,,W,65.0,465507.7,3758.95,2010-12-31,0.0,0.0
1537,H2PA06080,"HOLDEN, T. TIMOTHY",I,1.0,DEM,1363850.45,0.0,1864924.16,0.0,517010.31,15936.6,0.0,0.0,0.0,0.0,0.0,1178.41,480414.68,PA,17,,W,,W,55.0,849888.03,27113.21,2010-12-31,1732.26,0.0
1539,H0PA17065,"ARGALL, DAVID G",C,2.0,REP,374726.33,0.0,374726.33,612.03,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,309462.0,PA,17,,W,,L,44.0,57259.6,6000.0,2010-11-22,100.0,0.0
1542,H0PA18055,"CONNOLLY, DANIEL C",C,1.0,DEM,290928.57,0.0,249231.21,0.0,0.0,41697.36,0.0,50000.0,0.0,0.0,0.0,50000.0,202378.57,PA,18,,W,,L,32.0,38550.0,0.0,2010-12-31,0.0,0.0
1543,H2PA18143,"MURPHY, TIM",I,2.0,REP,1841765.88,0.0,1493261.89,0.0,35585.59,384089.58,0.0,0.0,0.0,0.0,0.0,0.0,767939.53,PA,18,,W,,W,67.0,1037775.17,0.0,2010-12-31,2500.0,2100.0
1544,H0PA19137,"SANDERS, RYAN SCOTT",C,1.0,DEM,30148.0,0.0,28498.37,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,26450.48,PA,19,,W,,L,23.0,697.52,0.0,2010-12-31,0.0,0.0
1545,H0PA19053,"PLATTS, TODD R",I,2.0,REP,218610.5,0.0,250797.07,0.0,50578.38,18391.81,0.0,0.0,0.0,0.0,0.0,0.0,218213.48,PA,19,,W,,W,71.0,0.0,0.0,2010-12-31,0.0,0.0
1547,H0PA19152,"MONIGHAN, JOSHUA A",C,3.0,UNK,3662.3,0.0,3650.0,0.0,0.0,11.0,1917.0,0.0,0.0,0.0,0.0,0.0,1743.0,PA,19,,,,L,4.0,0.0,0.0,2010-12-31,0.0,0.0
1548,H0RI01073,"CICILLINE, DAVID N",O,1.0,DEM,2054788.24,53796.54,2015847.44,0.0,0.0,37562.21,0.0,70000.0,0.0,0.0,0.0,120000.0,1658727.02,RI,01,,W,,W,50.0,270618.18,0.0,2010-12-31,11700.0,3800.0
1553,H0RI01065,"LOUGHLIN, JOHN J II",O,2.0,REP,812972.42,0.0,813017.42,0.0,0.0,0.0,25.0,4818.91,0.0,0.0,0.0,8801.44,692615.78,RI,01,,W,,L,44.0,103512.73,12000.0,2010-12-31,0.0,0.0
1555,H0RI02139,"LANGEVIN, JAMES R",I,1.0,DEM,1095291.73,0.0,1113747.54,45000.0,196382.9,177927.09,0.0,0.0,0.0,0.0,0.0,2822.34,610732.31,RI,02,,W,,W,59.0,474000.0,129.2,2010-12-31,0.0,800.0
1560,H8RI02108,"ZACCARIA, MARK",C,2.0,REP,185537.03,0.0,186281.03,0.0,949.92,0.0,0.0,80500.0,0.0,5726.41,0.0,94070.13,98972.94,RI,02,,W,,L,31.0,4575.76,0.0,2010-12-31,0.0,0.0
1561,H6RI02227,"MATSON, JOHN O",C,3.0,IND,2006.0,0.0,1762.0,0.0,0.0,243.0,1706.0,0.0,0.0,0.0,0.0,0.0,300.0,RI,02,,,,L,8.0,0.0,0.0,2010-10-13,0.0,0.0
1563,H6SC01136,"FRASIER, BENJAMIN JR",O,1.0,DEM,17361.0,0.0,17908.0,0.0,0.0,2788.0,0.0,11066.0,700.0,2140.0,0.0,0.0,5595.0,SC,01,,W,,L,28.0,0.0,0.0,2010-12-31,0.0,0.0
1570,H0SC01279,"SCOTT, TIMOTHY E",O,2.0,REP,1213573.63,412.36,1136730.0,0.0,0.0,76843.63,0.0,0.0,0.0,0.0,0.0,0.0,825741.35,SC,01,,,,W,65.0,386289.12,0.0,2010-12-31,1200.0,0.0
1575,H0SC01329,"MCCULLOUGH, MILTON ELMER 'MAC' JR",O,3.0,CIT,8714.0,0.0,5516.0,0.0,0.0,3197.0,4948.0,2200.0,0.0,0.0,0.0,2200.0,1566.0,SC,01,,,,L,0.0,0.0,0.0,2010-10-13,1650.0,0.0
1576,H0SC01345,"GROCE, ROBERT E",O,3.0,UNK,10129.35,0.0,9973.22,0.0,0.0,15.82,0.0,750.0,0.0,0.0,0.0,0.0,5538.53,SC,01,,,,L,1.0,3500.0,0.0,2010-12-31,354.53,0.0
1577,H8SC02080,"MILLER, ROBERT L",C,1.0,DEM,3134568.93,119215.46,3139638.75,444215.46,5121.16,51.34,1724.13,0.0,0.0,119215.46,0.0,100784.54,2814043.52,SC,02,,W,,L,43.0,180768.68,5000.0,2010-12-31,2260.0,37.3
1578,H2SC02059,"WILSON, JOE THE HON.",I,2.0,REP,4739094.71,0.0,4765082.96,0.0,31288.6,5550.35,0.0,0.0,0.0,0.0,0.0,77976.36,4262589.14,SC,02,,W,,W,53.0,454222.95,0.0,2010-12-31,12329.39,0.0
1579,H0SC02046,"BEAMAN, MARC ALAN",C,3.0,CON,76223.0,0.0,75142.0,0.0,0.0,1081.0,12639.0,0.0,0.0,0.0,0.0,0.0,63584.0,SC,02,,,,L,1.0,0.0,0.0,2010-11-02,0.0,0.0
1580,H8SC03054,"DYER, JANE B MRS",O,1.0,DEM,272698.16,0.0,272559.63,0.0,1432.4,1570.93,0.0,57900.0,0.0,6000.0,0.0,53100.0,113673.16,SC,03,,W,,L,36.0,98050.0,3075.0,2010-12-31,0.0,0.0
1583,H0SC03077,"DUNCAN, JEFF",O,2.0,REP,935503.18,0.0,903942.95,0.0,0.0,31560.23,0.0,56600.0,0.0,56600.0,0.0,0.0,541930.35,SC,03,,,,W,62.0,333706.95,0.0,2010-12-31,2850.0,0.0
1591,H8SC04177,"CORDEN, PAUL HENRY",C,1.0,DEM,25326.66,0.0,17854.92,0.0,2628.14,10099.88,0.0,0.0,0.0,0.0,0.0,0.0,24926.66,SC,04,,W,,L,28.0,0.0,400.0,2010-12-31,0.0,0.0
1596,H0SC04257,"GOWDY, TREY",C,2.0,REP,942671.78,0.0,867204.51,0.0,0.0,75467.27,0.0,0.0,0.0,0.0,0.0,0.0,745234.93,SC,04,,,,W,63.0,197436.85,0.0,2010-12-31,2400.0,2500.0
1598,H0SC04265,"EDWARDS, DAVID MICHAEL",C,3.0,CON,10015.0,0.0,10003.0,0.0,0.0,10.0,3200.0,0.0,0.0,0.0,0.0,0.0,6815.0,SC,04,,,,L,5.0,0.0,0.0,2010-12-31,0.0,0.0
1599,H2SC05052,"SPRATT, JOHN MCKEE JR HON",I,1.0,DEM,2035360.79,0.0,2497632.67,0.0,519620.62,57348.74,0.0,0.0,0.0,0.0,0.0,44000.0,785794.04,SC,05,,W,,L,44.0,1234978.7,476.79,2010-12-31,2400.0,0.0
1600,H0SC05031,"MULVANEY, JOHN MICHAEL 'MICK'",C,2.0,REP,1647870.38,0.0,1510413.93,0.0,0.0,137456.45,0.0,210000.0,0.0,0.0,0.0,210000.0,1170726.13,SC,05,,W,,W,55.0,261910.0,5000.0,2010-12-31,2100.0,1250.0
1602,H2SC02042,"CLYBURN, JAMES E",I,1.0,DEM,3338623.48,0.0,3695459.87,0.0,1128953.26,772116.87,0.0,0.0,0.0,0.0,0.0,0.0,1157394.29,SC,06,,W,,W,62.0,2155289.64,14.1,2010-12-31,9215.0,12500.0
1603,H0SC06195,"PRATT, JAMES PHILIP",C,2.0,REP,66703.09,0.0,52066.79,0.0,0.0,2206.6,1610.0,2855.0,0.0,700.0,0.0,0.0,50512.34,SC,06,,,,L,36.0,6750.0,5750.0,2010-12-31,0.0,0.0
1605,H2SD00092,"HERSETH SANDLIN, STEPHANIE M",I,1.0,DEM,2086660.35,0.0,2180568.95,0.0,96532.51,2623.91,1000.0,0.0,0.0,0.0,0.0,24000.0,903640.21,SD,00,,W,,L,45.0,1166460.49,7388.0,2010-12-31,2152.0,0.0
1608,H0SD00054,"NOEM, KRISTI LYNN",C,2.0,REP,2295248.96,73531.99,2284547.93,0.0,0.0,10701.03,13263.66,0.0,0.0,0.0,0.0,0.0,1922354.5,SD,00,,W,,W,48.0,259777.9,18350.0,2010-12-31,21758.79,0.0
1609,H0SD00070,"MARKING, B THOMAS",C,3.0,IND,7174.0,0.0,7754.0,0.0,605.0,25.0,4493.0,0.0,0.0,0.0,0.0,0.0,2420.0,SD,00,,,,L,5.0,0.0,0.0,2010-12-03,0.0,0.0
1610,H6TN01388,"ROE, DAVID PHILLIP",I,2.0,REP,518529.05,0.0,346588.62,0.0,86261.56,258201.99,0.0,0.0,0.0,0.0,0.0,169900.0,509029.05,TN,01,,W,,W,80.0,9000.0,500.0,2010-12-31,100.0,0.0
1611,H8TN02069,"DUNCAN, JOHN J REP. JR.",I,2.0,REP,566843.73,0.0,635487.7,44000.0,1535806.76,1467162.79,0.0,0.0,0.0,0.0,0.0,0.0,133199.49,TN,02,,W,,W,81.0,396063.79,0.0,2010-12-31,1000.0,0.0
1612,H4TN02035,"SAMPLES, WILLIAM GREGORY",C,3.0,IND,82.0,0.0,82.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,20.0,TN,02,,,,L,0.0,0.0,0.0,2010-03-31,0.0,0.0
1618,H0TN03221,"DEVOL, MARK",O,2.0,REP,37983.3,0.0,38234.44,0.0,0.0,-251.01,23489.05,0.0,0.0,0.0,0.0,0.0,14494.25,TN,03,,,,L,3.0,0.0,0.0,2010-12-31,0.0,0.0
1620,H0TN03254,"FLEISCHMANN, CHARLES J",O,2.0,REP,1409581.77,0.0,1378924.26,0.0,0.0,30657.51,0.0,698000.0,0.0,33000.0,0.0,250000.0,462663.77,TN,03,,W,,W,56.0,248918.0,0.0,2010-12-31,0.0,0.0
1625,H0TN03403,"KYRIAKIDIS, SAVAS T.",O,3.0,IND,128659.58,0.0,132894.33,0.0,0.0,-4935.25,0.0,112325.58,0.0,0.0,0.0,89544.74,16333.0,TN,03,,,,L,10.0,0.0,0.0,2010-12-31,0.0,0.0
1626,H4TN06051,"DAVIS, LINCOLN EDWARD",I,1.0,DEM,1488037.84,0.0,1411745.99,0.0,18928.13,95219.98,0.0,0.0,0.0,0.0,0.0,0.0,633098.96,TN,04,,W,,L,38.0,794573.15,59030.0,2010-12-31,0.0,1000.0
1627,H0TN04195,"DESJARLAIS, SCOTT EUGENE",C,2.0,REP,973111.33,0.0,957680.19,0.0,0.0,15431.14,4800.0,34400.0,0.0,34400.0,0.0,0.0,732111.33,TN,04,,W,,W,57.0,191700.0,10100.0,2010-12-31,2400.0,0.0
1631,H2TN05131,"COOPER, JAMES H.S.",I,1.0,DEM,1044042.3,0.0,1173954.98,0.0,273824.93,144152.14,0.0,0.0,0.0,0.0,0.0,0.0,688059.35,TN,05,,W,,W,56.0,348005.0,0.0,2010-12-31,2900.0,700.0
1637,H0TN05184,"HALL, DAVID",C,2.0,REP,358308.03,0.0,355279.14,0.0,0.0,3028.89,5110.48,68956.71,0.0,48029.68,0.0,12844.14,71472.51,TN,05,,W,,L,42.0,7500.0,0.0,2010-12-31,0.0,0.0
1641,H0TN05119,"MILLER, JACQUELINE MARIE",C,3.0,IND,6337.07,0.0,6337.0,0.0,0.0,0.0,2269.0,0.0,0.0,0.0,0.0,0.0,4068.0,TN,05,,,,L,0.0,0.0,0.0,2010-12-23,0.0,0.0
1642,H0TN05283,"TAYLOR, THOMAS CLARK",C,3.0,IND,781.0,0.0,781.0,0.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,TN,05,,,,L,0.0,0.0,0.0,2010-06-29,0.0,0.0
1643,H0TN05291,"WHITFIELD, JAMES GREGORY II",C,3.0,IND,5020.0,0.0,7713.0,0.0,2693.0,-5387.0,0.0,4000.0,0.0,0.0,0.0,1306.0,1020.0,TN,05,,,,L,0.0,0.0,0.0,2010-12-31,0.0,0.0
1644,H8TN05252,"MIGLIETTA, JOHN P",C,3.0,IND,1830.0,0.0,2029.8,0.0,736.19,536.39,162.0,1000.0,0.0,0.0,0.0,1195.16,665.0,TN,05,,,,L,0.0,0.0,0.0,2010-12-31,0.0,0.0
1645,H0TN05101,"COLLINGS, STEPHEN WILLIAM",C,3.0,LIB,86.0,0.0,47.0,0.0,0.0,38.0,56.0,0.0,0.0,0.0,0.0,0.0,30.0,TN,05,,,,L,0.0,0.0,0.0,2010-03-31,0.0,0.0
1647,H0TN06273,"CARTER, BRETT RYAN",O,1.0,DEM,215354.54,0.0,204331.85,0.0,0.0,11022.69,12014.5,10000.0,0.0,0.0,0.0,0.0,175547.78,TN,06,,W,,L,29.0,8951.7,6840.0,2010-12-31,0.0,0.0
1655,H0TN06257,"BLACK, DIANE LYNN",O,2.0,REP,2364211.25,0.0,2328657.7,0.0,0.0,35553.55,79547.61,1200100.0,0.0,126200.0,0.0,1073900.0,693998.73,TN,06,,W,,W,67.0,380600.62,3399.0,2010-12-31,620.0,0.0
1656,H0TN06299,"GORE, BRANDON ERIC",O,3.0,IND,2000.0,0.0,515.0,0.0,2000.0,1484.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,TN,06,,,,L,0.0,0.0,0.0,2010-03-31,0.0,0.0
1657,H0TN07214,"RABIDOUX, GREG ROBERT DR",C,1.0,DEM,74930.03,0.0,62525.61,0.0,0.0,11828.0,525.0,1000.0,0.0,0.0,0.0,0.0,51365.03,TN,07,,W,,L,24.0,17600.0,4440.0,2010-10-13,0.0,0.0
1658,H2TN06030,"BLACKBURN, MARSHA MRS.",I,2.0,REP,1563192.71,0.0,1054615.97,0.0,340480.06,849056.8,0.0,0.0,0.0,0.0,0.0,7402.28,690871.89,TN,07,,W,,W,72.0,858546.36,600.0,2010-12-31,2669.13,3100.0
1659,H0TN08253,"HERRON, ROY BRASFIELD",O,1.0,DEM,2604121.17,0.0,2569501.68,0.0,0.0,34619.49,0.0,501000.0,0.0,501000.0,0.0,0.0,1676150.75,TN,08,,W,,L,38.0,408650.0,503.73,2010-12-31,12100.0,0.0
1662,H0TN08238,"JANES, DONN",O,2.0,REP,46252.5,0.0,46252.5,0.0,0.0,0.0,28145.01,0.0,0.0,0.0,0.0,0.0,17707.49,TN,08,,,,L,1.0,400.0,0.0,2010-12-31,0.0,0.0
1663,H0TN08246,"FINCHER, STEVE",O,2.0,REP,2974526.46,0.0,2865001.97,0.0,0.0,109524.49,0.0,250000.0,0.0,250000.0,0.0,51164.77,2136785.59,TN,08,,W,,W,59.0,519032.96,950.0,2010-12-31,39098.24,400.0
1668,H0TN08329,"RAWLES , MARK JEFFERY",O,3.0,IND,5900.0,0.0,5841.0,0.0,0.0,57.78,0.0,4500.0,0.0,4400.0,0.0,100.0,1400.0,TN,08,,,,L,0.0,0.0,0.0,2010-12-31,0.0,0.0
1669,H2TN08077,"HART, JAMES",O,3.0,IND,11493.68,0.0,11910.74,0.0,1718.01,1300.95,10298.42,1000.0,0.0,0.0,0.0,190228.6,188.25,TN,08,,,,L,0.0,0.0,0.0,2010-12-31,0.0,0.0
1671,H6TN09068,"COHEN, STEPHEN IRA",I,1.0,DEM,1151407.84,0.0,843235.82,0.0,480682.54,788848.25,0.0,0.0,0.0,0.0,0.0,0.0,628307.11,TN,09,,W,,W,73.0,511777.07,5.26,2010-12-31,1000.0,0.0
1674,H0TN09061,"BERGMANN, CHARLOTTE",C,2.0,REP,217428.1,0.0,217428.1,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,213178.1,TN,09,,W,,L,25.0,4000.0,0.0,2010-12-31,0.0,0.0
1676,H4TX04039,"GOHMERT, LOUIE",I,2.0,REP,793679.49,0.0,877586.99,0.0,197458.75,113551.25,0.0,0.0,0.0,0.0,0.0,0.0,642531.99,TX,01,,W,,W,89.0,149775.0,0.0,2010-12-31,5400.0,1600.0
1677,H4TX02108,"POE, TED",I,2.0,REP,876075.18,0.0,569845.82,0.0,641080.8,947310.16,0.0,0.0,0.0,0.0,0.0,0.0,607163.01,TX,02,,W,,W,88.0,252050.0,2125.0,2010-12-31,9500.0,2500.0
1678,H0TX03088,"LINGENFELDER, JOHN JR",C,1.0,DEM,157000.58,0.0,154857.18,0.0,0.0,1808.4,0.0,128974.39,0.0,27475.27,0.0,101500.0,26291.19,TX,03,,W,,L,31.0,1000.0,0.0,2010-12-31,0.0,0.0
1679,H2TX03118,"SAM, JOHNSON MR.",I,2.0,REP,1110253.29,0.0,820491.21,0.0,343148.23,632910.31,0.0,0.0,0.0,0.0,0.0,0.0,487617.9,TX,03,,W,,W,66.0,608565.57,0.0,2010-12-31,0.0,0.0
1680,H8TX04139,"HATHCOX, VALINDA",C,1.0,DEM,21644.8,0.0,15902.8,0.0,0.0,0.0,7951.0,0.0,0.0,0.0,0.0,0.0,2500.0,TX,04,,W,,L,21.0,0.0,116.0,2010-12-31,0.0,0.0
1681,H0TX04037,"HALL, RALPH MOODY",I,2.0,REP,664578.95,0.0,776141.98,0.0,195015.96,83452.93,0.0,0.0,0.0,0.0,0.0,10000.0,252718.84,TX,04,,W,,W,73.0,411751.76,0.0,2010-12-31,0.0,0.0
1686,H0TX04110,"PRINDLE, JIM",C,3.0,LIB,47686.52,0.0,41906.44,0.0,0.0,5738.16,2658.31,32963.0,0.0,825.0,0.0,32913.0,10985.21,TX,04,,,,L,2.0,30.0,1050.0,2010-12-31,0.0,0.0
1688,H2TX05121,"HENSARLING, JEB HON.",I,2.0,REP,1745499.68,0.0,1804771.18,0.0,1508841.62,1449570.12,0.0,0.0,0.0,0.0,0.0,0.0,1037622.46,TX,05,,W,,W,70.0,689459.72,32.79,2010-12-31,2400.0,2500.0
1689,H0TX06065,"COZAD, DAVID EDWIN",C,1.0,DEM,25145.07,0.0,24895.45,0.0,0.0,249.62,500.0,12400.0,0.0,0.0,0.0,12400.0,12245.07,TX,06,,W,,L,31.0,0.0,0.0,2010-12-31,0.0,0.0
1690,H4TX06117,"BARTON, JOE LINUS",I,2.0,REP,2377714.98,0.0,2255364.08,0.0,1400599.28,1522950.18,0.0,0.0,0.0,0.0,0.0,0.0,677495.2,TX,06,,W,,W,65.0,1175517.27,0.0,2010-12-31,3600.0,0.0
1691,H0TX07055,"CULBERSON, JOHN",I,2.0,REP,779425.22,0.0,771544.01,172000.0,29300.35,37181.56,0.0,0.0,0.0,0.0,0.0,0.0,433249.0,TX,07,,W,,W,81.0,339320.52,32.78,2010-12-31,1150.0,200.0
1694,H6TX08100,"BRADY, KEVIN",I,2.0,REP,1028855.14,0.0,945192.5,0.0,121442.79,205105.43,0.0,0.0,0.0,0.0,0.0,33500.0,257389.5,TX,08,,W,,W,79.0,768845.45,0.0,2010-12-31,1000.0,0.0
1695,H4TX09095,"GREEN, ALEXANDER",I,1.0,DEM,443130.85,0.0,357610.99,25000.0,104082.96,189602.82,0.0,0.0,0.0,75000.0,0.0,29800.0,197328.85,TX,09,,W,,W,75.0,217050.0,0.0,2010-12-31,0.0,0.0
1697,H0TX09143,"MUELLER, STEVE C",C,2.0,REP,16549.13,0.0,15712.99,0.0,0.0,835.0,0.0,0.0,0.0,0.0,0.0,0.0,16547.0,TX,09,,W,,L,22.0,0.0,0.0,2010-12-31,0.0,0.0
1699,H6TX10106,"ANKRUM, GEORGE THEODORE",C,1.0,DEM,23314.24,0.0,20140.89,0.0,0.0,0.0,0.0,3555.46,0.0,0.0,0.0,3555.46,19599.21,TX,10,,W,,L,33.0,0.0,159.57,2010-11-19,0.0,0.0
1701,H4TX10093,"MCCAUL, MICHAEL",I,2.0,REP,2124577.17,0.0,2137670.17,0.0,42845.11,29752.11,0.0,500000.0,0.0,700000.0,0.0,214671.63,1023666.16,TX,10,,W,,W,64.0,489851.12,0.0,2010-12-31,8900.0,1288.55
1702,H0TX11131,"QUILLIAN, JAMES",C,1.0,DEM,20488.75,0.0,14928.75,0.0,0.0,0.0,0.0,7329.0,0.0,0.0,0.0,0.0,135.0,TX,11,,W,,L,15.0,0.0,0.0,2010-12-31,0.0,0.0
1705,H4TX19136,"CONAWAY, MICHAEL HONORABLE",I,2.0,REP,1098814.07,1200.0,1153195.9,0.0,516040.75,461658.92,0.0,0.0,0.0,0.0,0.0,0.0,668187.63,TX,11,,W,,W,80.0,421545.45,282.78,2010-12-31,0.0,0.0
1706,H8TX12058,"SMITH, TRACEY",C,1.0,DEM,8397.0,0.0,7445.0,0.0,872.0,1389.0,3232.0,2144.0,0.0,2500.0,0.0,1625.0,3021.0,TX,12,,W,,L,25.0,0.0,0.0,2010-12-02,0.0,0.0
1709,H6TX12060,"GRANGER, KAY",I,2.0,REP,1341260.0,0.0,1388017.3,0.0,159955.94,113198.64,0.0,0.0,0.0,0.0,0.0,3644.16,768387.96,TX,12,,W,,W,71.0,569018.95,112.79,2010-12-31,4700.0,2500.0
1710,H4TX13014,"THORNBERRY, MAC",I,2.0,REP,689960.06,0.0,792833.49,210000.0,342865.92,239992.49,0.0,0.0,0.0,0.0,0.0,0.0,435904.61,TX,13,,W,,W,87.0,240111.5,3250.0,2010-12-31,0.0,0.0
1713,H0TX14168,"PRUETT, ROBERT C JR",C,1.0,DEM,28007.56,0.0,28007.56,0.0,0.0,0.0,7800.0,1500.0,3030.56,0.0,0.0,4530.56,13077.0,TX,14,,,,L,23.0,0.0,2600.0,2010-11-30,0.0,0.0
1718,H6TX22101,"PAUL, RONALD E.",I,2.0,REP,986269.36,573818.74,1630754.38,0.0,2500378.12,1855893.1,0.0,0.0,0.0,0.0,0.0,0.0,332641.62,TX,14,,W,,W,76.0,29670.0,2000.0,2010-12-31,2710.0,0.0
1720,H6TX15055,"HINOJOSA, RUBEN E.",I,1.0,DEM,609897.92,0.0,622520.74,0.0,447196.05,434573.23,0.0,0.0,0.0,0.0,0.0,0.0,311970.0,TX,15,,W,,W,55.0,291750.0,17.85,2010-12-31,7900.0,7500.0
1723,H6TX15113,"ZAMORA, EDDIE",C,2.0,REP,87768.0,0.0,83938.88,0.0,754.67,-12456.34,3330.0,0.0,0.0,0.0,0.0,0.0,84338.0,TX,15,,,,L,41.0,100.0,0.0,2010-12-31,0.0,0.0
1724,H6TX00115,"REYES, SILVESTRE",I,1.0,DEM,1044123.34,0.0,1040965.88,0.0,39281.15,42438.61,0.0,0.0,0.0,0.0,0.0,0.0,620081.06,TX,16,,W,,W,58.0,416316.05,800.0,2010-12-31,2200.0,1000.0
1725,H0TX16064,"BESCO, TIMOTHY ANDREW",C,2.0,REP,5400.0,0.0,22856.15,0.0,0.0,0.0,0.0,1400.0,0.0,13175.0,0.0,13175.0,4450.0,TX,16,,W,,L,36.0,0.0,0.0,2010-11-30,0.0,0.0
1726,H0TX16080,"COLLINS, TIM",C,3.0,NNE,1636.0,0.0,1636.0,0.0,0.0,0.0,521.0,0.0,0.0,0.0,0.0,0.0,2230.0,TX,16,,,,L,0.0,0.0,0.0,2010-11-22,794.0,0.0
1727,H8TX06035,"EDWARDS, CHET",I,1.0,DEM,3686767.66,0.0,3841632.24,0.0,213241.28,58376.7,0.0,0.0,0.0,0.0,0.0,0.0,2313468.16,TX,17,,W,,L,36.0,1331739.98,6849.75,2010-12-31,4900.0,0.0
1731,H0TX17104,"FLORES, BILL",C,2.0,REP,3433415.41,18081.57,3389497.38,0.0,0.0,43918.03,236226.56,1329750.0,0.0,79750.0,0.0,730023.76,1522395.28,TX,17,,,,W,61.0,297897.34,13755.2,2010-12-31,6400.0,2600.0
1735,H4TX18054,"LEE, SHEILA JACKSON",I,1.0,DEM,825310.32,0.0,1130370.69,0.0,419714.06,114653.69,0.0,0.0,0.0,0.0,0.0,0.0,487161.79,TX,18,,W,,W,70.0,332148.53,0.0,2010-12-31,4400.0,1000.0
1738,H8TX18139,"FAULK, JOHN M MR. SR.",C,2.0,REP,273759.32,0.0,262544.13,0.0,378.16,45.81,0.0,4300.0,0.0,0.0,0.0,10317.27,268500.76,TX,18,,W,,L,27.0,0.0,0.0,2010-12-31,50.0,0.0
1739,H0TX19043,"WILSON, ANDY",C,1.0,DEM,42097.13,0.0,42097.13,0.0,0.0,0.0,628.55,10000.0,0.0,9579.71,0.0,420.29,26268.58,TX,19,,W,,L,19.0,0.0,5200.0,2010-12-24,0.0,0.0
1740,H4TX19102,"NEUGEBAUER, RANDY HONORABLE",I,2.0,REP,1135652.42,0.0,974051.83,0.0,488012.17,649612.76,0.0,0.0,0.0,0.0,0.0,0.0,541963.96,TX,19,,W,,W,77.0,580845.36,400.0,2010-12-31,9450.0,5036.5
1741,H8TX20077,"GONZALEZ, CHARLES A.",I,1.0,DEM,921600.96,0.0,970471.11,0.0,118603.96,69733.81,0.0,0.0,0.0,0.0,0.0,0.0,249184.99,TX,20,,W,,W,63.0,668950.0,3465.97,2010-12-31,0.0,5000.0
1743,H0TX20066,"TROTTER, CLAYTON",C,2.0,REP,162678.98,0.0,162678.98,0.0,0.0,0.0,0.0,0.0,2700.0,0.0,2700.0,0.0,144109.54,TX,20,,,,L,34.0,14619.2,0.0,2010-12-31,0.0,0.0
